ticker,name,premium_code,free_code
AFFX,Affymetrix,EOD/AFFX,GOOG/NASDAQ_AFFX
AFH,Atlas Financial Holdings,EOD/AFH,GOOG/NASDAQ_AFH
AFMD,Affimed N.V.,EOD/AFMD,
AFOP,Alliance Fiber Optic Products,EOD/AFOP,GOOG/NASDAQ_AFOP
AFSI,AmTrust Financial Services,EOD/AFSI,GOOG/NASDAQ_AFSI
AGEN,Agenus Inc.,EOD/AGEN,GOOG/NASDAQ_AGEN
AGFS,AgroFresh Solutions,EOD/AGFS,
AGFSW,AgroFresh Solutions,EOD/AGFSW,
AGII,Argo Group International Holdings,EOD/AGII,GOOG/NASDAQ_AGII
AGIIL,Argo Group International Holdings,EOD/AGIIL,
AGIO,Agios Pharmaceuticals,EOD/AGIO,GOOG/NASDAQ_AGIO
AGMX,AutoGenomics,,
AGNC,American Capital Agency Corp.,EOD/AGNC,GOOG/NASDAQ_AGNC
AGNCB,American Capital Agency Corp.,EOD/AGNCB,
AGNCP,American Capital Agency Corp.,EOD/AGNCP,GOOG/NASDAQ_AGNCP
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,EOD/AGND,
AGRX,Agile Therapeutics,EOD/AGRX,
AGTC,Applied Genetic Technologies Corporation,EOD/AGTC,
AGYS,Agilysys,EOD/AGYS,GOOG/NASDAQ_AGYS
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,EOD/AGZD,
AHGP,Alliance Holdings GP,EOD/AHGP,GOOG/NASDAQ_AHGP
AHPI,Allied Healthcare Products,EOD/AHPI,GOOG/NASDAQ_AHPI
AIMC,Altra Industrial Motion Corp.,EOD/AIMC,GOOG/NASDAQ_AIMC
AIMT,Aimmune Therapeutics,EOD/AIMT,
AINV,Apollo Investment Corporation,EOD/AINV,GOOG/NASDAQ_AINV
AIQ,Alliance HealthCare Services,EOD/AIQ,GOOG/NASDAQ_AIQ
AIRM,Air Methods Corporation,EOD/AIRM,GOOG/NASDAQ_AIRM
AIRR,First Trust RBA American Industrial Renaissance ETF,EOD/AIRR,
AIRT,Air T,EOD/AIRT,GOOG/NASDAQ_AIRT
AIXG,Aixtron SE,EOD/AIXG,GOOG/NASDAQ_AIXG
AKAM,Akamai Technologies,EOD/AKAM,GOOG/NASDAQ_AKAM
AKAO,Achaogen,EOD/AKAO,
AKBA,Akebia Therapeutics,EOD/AKBA,
AKER,Akers Biosciences Inc,EOD/AKER,
AKRX,Akorn,EOD/AKRX,GOOG/NASDAQ_AKRX
AKTX,Akari Therapeutics Plc,EOD/AKTX,
ALCO,Alico,EOD/ALCO,GOOG/NASDAQ_ALCO
ALDR,Alder BioPharmaceuticals,EOD/ALDR,
ALDX,Aldeyra Therapeutics,EOD/ALDX,
ALGN,Align Technology,EOD/ALGN,GOOG/NASDAQ_ALGN
ALGT,Allegiant Travel Company,EOD/ALGT,GOOG/NASDAQ_ALGT
ALIM,Alimera Sciences,EOD/ALIM,GOOG/NASDAQ_ALIM
ALKS,Alkermes plc,EOD/ALKS,GOOG/NASDAQ_ALKS
ALLT,Allot Communications Ltd.,EOD/ALLT,GOOG/NASDAQ_ALLT
ALNY,Alnylam Pharmaceuticals,EOD/ALNY,GOOG/NASDAQ_ALNY
ALOG,Analogic Corporation,EOD/ALOG,GOOG/NASDAQ_ALOG
ALOT,Astro-Med,EOD/ALOT,GOOG/NASDAQ_ALOT
ALQA,Alliqua BioMedical,EOD/ALQA,
ALRM,Alarm.com Holdings,EOD/ALRM,
ALSK,Alaska Communications Systems Group,EOD/ALSK,GOOG/NASDAQ_ALSK
ALTR,Altera Corporation,EOD/ALTR,GOOG/NASDAQ_ALTR
ALTY,Global X SuperDividend Alternatives ETF,EOD/ALTY,
ALXA,Alexza Pharmaceuticals,EOD/ALXA,GOOG/NASDAQ_ALXA
ALXN,Alexion Pharmaceuticals,EOD/ALXN,GOOG/NASDAQ_ALXN
AMAG,AMAG Pharmaceuticals,EOD/AMAG,GOOG/NASDAQ_AMAG
AMAT,Applied Materials,EOD/AMAT,GOOG/NASDAQ_AMAT
AMBA,Ambarella,EOD/AMBA,GOOG/NASDAQ_AMBA
AMBC,Ambac Financial Group,EOD/AMBC,GOOG/NASDAQ_AMBC
AMBCW,Ambac Financial Group,EOD/AMBCW,
AMCC,Applied Micro Circuits Corporation,EOD/AMCC,GOOG/NASDAQ_AMCC
AMCN,AirMedia Group Inc,EOD/AMCN,GOOG/NASDAQ_AMCN
AMCX,AMC Networks Inc.,EOD/AMCX,GOOG/NASDAQ_AMCX
AMD,Advanced Micro Devices,EOD/AMD,
AMDA,Amedica Corporation,EOD/AMDA,
AMED,Amedisys Inc,EOD/AMED,GOOG/NASDAQ_AMED
AMEH,Apollo Medical Holdings,,
AMGN,Amgen Inc.,EOD/AMGN,GOOG/NASDAQ_AMGN
AMIC,American Independence Corp.,EOD/AMIC,GOOG/NASDAQ_AMIC
AMKR,Amkor Technology,EOD/AMKR,GOOG/NASDAQ_AMKR
AMNB,American National Bankshares,EOD/AMNB,GOOG/NASDAQ_AMNB
AMOT,Allied Motion Technologies,EOD/AMOT,GOOG/NASDAQ_AMOT
AMOV,America Movil,EOD/AMOV,GOOG/NASDAQ_AMOV
AMPH,Amphastar Pharmaceuticals,EOD/AMPH,
AMRB,American River Bankshares,EOD/AMRB,GOOG/NASDAQ_AMRB
AMRI,Albany Molecular Research,EOD/AMRI,GOOG/NASDAQ_AMRI
AMRK,A-Mark Precious Metals,EOD/AMRK,
AMRN,Amarin Corporation PLC,EOD/AMRN,GOOG/NASDAQ_AMRN
AMRS,Amyris,EOD/AMRS,GOOG/NASDAQ_AMRS
AMSC,American Superconductor Corporation,EOD/AMSC,GOOG/NASDAQ_AMSC
AMSF,AMERISAFE,EOD/AMSF,GOOG/NASDAQ_AMSF
AMSG,Amsurg Corp.,EOD/AMSG,GOOG/NASDAQ_AMSG
AMSGP,Amsurg Corp.,EOD/AMSGP,
AMSWA,American Software,EOD/AMSWA,GOOG/NASDAQ_AMSWA
AMTX,Aemetis,EOD/AMTX,
AMWD,American Woodmark Corporation,EOD/AMWD,GOOG/NASDAQ_AMWD
AMZN,Amazon.com,EOD/AMZN,GOOG/NASDAQ_AMZN
ANAC,Anacor Pharmaceuticals,EOD/ANAC,GOOG/NASDAQ_ANAC
ANAD,ANADIGICS,EOD/ANAD,GOOG/NASDAQ_ANAD
ANAT,American National Insurance Company,EOD/ANAT,GOOG/NASDAQ_ANAT
ANCB,Anchor Bancorp,EOD/ANCB,GOOG/NASDAQ_ANCB
ANCX,Access National Corporation,EOD/ANCX,GOOG/NASDAQ_ANCX
ANDE,The Andersons,EOD/ANDE,GOOG/NASDAQ_ANDE
ANGI,Angie&#39;s List,EOD/ANGI,GOOG/NASDAQ_ANGI
ANGO,AngioDynamics,EOD/ANGO,GOOG/NASDAQ_ANGO
ANIK,Anika Therapeutics Inc.,EOD/ANIK,GOOG/NASDAQ_ANIK
ANIP,ANI Pharmaceuticals,EOD/ANIP,GOOG/NASDAQ_ANIP
ANSS,ANSYS,EOD/ANSS,GOOG/NASDAQ_ANSS
ANTE,Anterios,,
ANTH,Anthera Pharmaceuticals,EOD/ANTH,GOOG/NASDAQ_ANTH
ANY,Sphere 3D Corp.,EOD/ANY,
AOSL,Alpha and Omega Semiconductor Limited,EOD/AOSL,GOOG/NASDAQ_AOSL
APDN,Applied DNA Sciences Inc,EOD/APDN,
APDNW,Applied DNA Sciences Inc,EOD/APDNW,
APEI,American Public Education,EOD/APEI,GOOG/NASDAQ_APEI
APIC,Apigee Corporation,EOD/APIC,
APLP,Archrock Partners,EOD/APLP,
APOG,Apogee Enterprises,EOD/APOG,GOOG/NASDAQ_APOG
APOL,Apollo Education Group,EOD/APOL,GOOG/NASDAQ_APOL
APPF,AppFolio,EOD/APPF,
APPS,Digital Turbine,EOD/APPS,
APPY,Venaxis,EOD/APPY,GOOG/NASDAQ_APPY
APRI,Apricus Biosciences,EOD/APRI,GOOG/NASDAQ_APRI
APTO,Aptose Biosciences,EOD/APTO,
APWC,Asia Pacific Wire & Cable Corporation Limited,EOD/APWC,GOOG/NASDAQ_APWC
AQMS,Aqua Metals,EOD/AQMS,
AQXP,Aquinox Pharmaceuticals,EOD/AQXP,
ARAY,Accuray Incorporated,EOD/ARAY,GOOG/NASDAQ_ARAY
ARBR,ArborGen Inc.,,
ARCB,ArcBest Corporation,EOD/ARCB,
ARCC,Ares Capital Corporation,EOD/ARCC,GOOG/NASDAQ_ARCC
ARCI,Appliance Recycling Centers of America,EOD/ARCI,GOOG/NASDAQ_ARCI
ARCW,ARC Group Worldwide,EOD/ARCW,GOOG/NASDAQ_ARCW
ARDM,Aradigm Corporation,EOD/ARDM,
ARDX,Ardelyx,EOD/ARDX,
AREX,Approach Resources Inc.,EOD/AREX,GOOG/NASDAQ_AREX
ARGS,Argos Therapeutics,EOD/ARGS,
ARIA,ARIAD Pharmaceuticals,EOD/ARIA,GOOG/NASDAQ_ARIA
ARII,American Railcar Industries,EOD/ARII,GOOG/NASDAQ_ARII
ARIS,ARI Network Services,EOD/ARIS,
ARKR,Ark Restaurants Corp.,EOD/ARKR,GOOG/NASDAQ_ARKR
ARLP,Alliance Resource Partners,EOD/ARLP,GOOG/NASDAQ_ARLP
ARMH,ARM Holdings plc,EOD/ARMH,GOOG/NASDAQ_ARMH
ARNA,Arena Pharmaceuticals,EOD/ARNA,GOOG/NASDAQ_ARNA
AROW,Arrow Financial Corporation,EOD/AROW,GOOG/NASDAQ_AROW
ARQL,ArQule,EOD/ARQL,GOOG/NASDAQ_ARQL
ARRS,ARRIS Group,EOD/ARRS,GOOG/NASDAQ_ARRS
ARRY,Array BioPharma Inc.,EOD/ARRY,GOOG/NASDAQ_ARRY
ARTNA,Artesian Resources Corporation,EOD/ARTNA,GOOG/NASDAQ_ARTNA
ARTW,Art&#39;s-Way Manufacturing Co.,EOD/ARTW,GOOG/NASDAQ_ARTW
ARTX,Arotech Corporation,EOD/ARTX,GOOG/NASDAQ_ARTX
ARWA,Arowana Inc.,EOD/ARWA,
ARWAR,Arowana Inc.,EOD/ARWAR,
ARWAU,Arowana Inc.,EOD/ARWAU,
ARWAW,Arowana Inc.,EOD/ARWAW,
ARWR,Arrowhead Research Corporation,EOD/ARWR,GOOG/NASDAQ_ARWR
ASBB,ASB Bancorp,EOD/ASBB,GOOG/NASDAQ_ASBB
ASBI,Ameriana Bancorp,EOD/ASBI,GOOG/NASDAQ_ASBI
ASCMA,Ascent Capital Group,EOD/ASCMA,GOOG/NASDAQ_ASCMA
ASEI,American Science and Engineering,EOD/ASEI,GOOG/NASDAQ_ASEI
ASFI,Asta Funding,EOD/ASFI,GOOG/NASDAQ_ASFI
ASMB,Assembly Biosciences,EOD/ASMB,
ASML,ASML Holding N.V.,EOD/ASML,GOOG/NASDAQ_ASML
ASNA,Ascena Retail Group,EOD/ASNA,GOOG/NASDAQ_ASNA
ASND,Ascendis Pharma A/S,EOD/ASND,
ASPS,Altisource Portfolio Solutions S.A.,EOD/ASPS,GOOG/NASDAQ_ASPS
ASRV,AmeriServ Financial Inc.,EOD/ASRV,GOOG/NASDAQ_ASRV
ASRVP,AmeriServ Financial Inc.,EOD/ASRVP,GOOG/NASDAQ_ASRVP
ASTC,Astrotech Corporation,EOD/ASTC,GOOG/NASDAQ_ASTC
ASTE,Astec Industries,EOD/ASTE,GOOG/NASDAQ_ASTE
ASTI,Ascent Solar Technologies,EOD/ASTI,GOOG/NASDAQ_ASTI
ASUR,Asure Software Inc,EOD/ASUR,GOOG/NASDAQ_ASUR
ASYS,Amtech Systems,EOD/ASYS,GOOG/NASDAQ_ASYS
ATAI,ATA Inc.,EOD/ATAI,GOOG/NASDAQ_ATAI
ATAX,America First Multifamily Investors,EOD/ATAX,GOOG/NASDAQ_ATAX
ATEC,Alphatec Holdings,EOD/ATEC,GOOG/NASDAQ_ATEC
ATHN,athenahealth,EOD/ATHN,GOOG/NASDAQ_ATHN
ATHX,Athersys,EOD/ATHX,GOOG/NASDAQ_ATHX
ATLC,Atlanticus Holdings Corporation,EOD/ATLC,GOOG/NASDAQ_ATLC
ATLO,Ames National Corporation,EOD/ATLO,GOOG/NASDAQ_ATLO
ATML,Atmel Corporation,EOD/ATML,GOOG/NASDAQ_ATML
ATNI,Atlantic Tele-Network,EOD/ATNI,GOOG/NASDAQ_ATNI
ATNY,API Technologies Corp.,EOD/ATNY,GOOG/NASDAQ_ATNY
ATOS,Atossa Genetics Inc.,EOD/ATOS,GOOG/NASDAQ_ATOS
ATRA,Atara Biotherapeutics,EOD/ATRA,
ATRC,AtriCure,EOD/ATRC,GOOG/NASDAQ_ATRC
ATRI,ATRION Corporation,EOD/ATRI,GOOG/NASDAQ_ATRI
ATRO,Astronics Corporation,EOD/ATRO,GOOG/NASDAQ_ATRO
ATRS,Antares Pharma,EOD/ATRS,GOOG/NASDAQ_ATRS
ATSG,Air Transport Services Group,EOD/ATSG,GOOG/NASDAQ_ATSG
ATTU,Attunity Ltd.,EOD/ATTU,GOOG/NASDAQ_ATTU
ATVI,Activision Blizzard,EOD/ATVI,GOOG/NASDAQ_ATVI
AUBN,Auburn National Bancorporation,EOD/AUBN,GOOG/NASDAQ_AUBN
AUDC,AudioCodes Ltd.,EOD/AUDC,GOOG/NASDAQ_AUDC
AUMA,AR Capital Acquisition Corp.,EOD/AUMA,
AUMAU,AR Capital Acquisition Corp.,EOD/AUMAU,
AUMAW,AR Capital Acquisition Corp.,EOD/AUMAW,
AUPH,Aurinia Pharmaceuticals Inc,EOD/AUPH,
AVAV,AeroVironment,EOD/AVAV,GOOG/NASDAQ_AVAV
AVEO,AVEO Pharmaceuticals,EOD/AVEO,GOOG/NASDAQ_AVEO
AVGO,Avago Technologies Limited,EOD/AVGO,GOOG/NASDAQ_AVGO
AVGR,Avinger,EOD/AVGR,
AVHI,A V Homes,EOD/AVHI,GOOG/NASDAQ_AVHI
AVID,Avid Technology,EOD/AVID,GOOG/NASDAQ_AVID
AVNU,Avenue Financial Holdings,EOD/AVNU,
AVNW,Aviat Networks,EOD/AVNW,GOOG/NASDAQ_AVNW
AVXL,Anavex Life Sciences Corp.,EOD/AVXL,
AWAY,HomeAway,EOD/AWAY,GOOG/NASDAQ_AWAY
AWRE,Aware,EOD/AWRE,GOOG/NASDAQ_AWRE
AXAS,Abraxas Petroleum Corporation,EOD/AXAS,GOOG/NASDAQ_AXAS
AXDX,Accelerate Diagnostics,EOD/AXDX,GOOG/NASDAQ_AXDX
AXGN,AxoGen,EOD/AXGN,GOOG/NASDAQ_AXGN
AXPW,Axion Power International,EOD/AXPW,
AXPWW,Axion Power International,EOD/AXPWW,
AXTI,AXT Inc,EOD/AXTI,GOOG/NASDAQ_AXTI
AYA,Amaya Inc.,EOD/AYA,
AZPN,Aspen Technology,EOD/AZPN,GOOG/NASDAQ_AZPN
BABY,Natus Medical Incorporated,EOD/BABY,GOOG/NASDAQ_BABY
BAMM,Books-A-Million,EOD/BAMM,GOOG/NASDAQ_BAMM
BANF,BancFirst Corporation,EOD/BANF,GOOG/NASDAQ_BANF
BANFP,BancFirst Corporation,EOD/BANFP,GOOG/NASDAQ_BANFP
BANR,Banner Corporation,EOD/BANR,GOOG/NASDAQ_BANR
BANX,StoneCastle Financial Corp,EOD/BANX,GOOG/NASDAQ_BANX
BASI,Bioanalytical Systems,EOD/BASI,GOOG/NASDAQ_BASI
BBBY,Bed Bath & Beyond Inc.,EOD/BBBY,GOOG/NASDAQ_BBBY
BBC,BioShares Biotechnology Clinical Trials Fund,EOD/BBC,
BBCN,BBCN Bancorp,EOD/BBCN,GOOG/NASDAQ_BBCN
BBEP,Breitburn Energy Partners LP,EOD/BBEP,GOOG/NASDAQ_BBEP
BBEPP,Breitburn Energy Partners LP,EOD/BBEPP,
BBGI,Beasley Broadcast Group,EOD/BBGI,GOOG/NASDAQ_BBGI
BBLU,Blue Earth,EOD/BBLU,
BBOX,Black Box Corporation,EOD/BBOX,GOOG/NASDAQ_BBOX
BBP,BioShares Biotechnology Products Fund,EOD/BBP,
BBRG,Bravo Brio Restaurant Group,EOD/BBRG,GOOG/NASDAQ_BBRG
BBRY,BlackBerry Limited,EOD/BBRY,GOOG/NASDAQ_BBRY
BBSI,Barrett Business Services,EOD/BBSI,GOOG/NASDAQ_BBSI
BCBP,BCB Bancorp,EOD/BCBP,GOOG/NASDAQ_BCBP
BCDA,BioCardia,,
BCLI,Brainstorm Cell Therapeutics Inc.,EOD/BCLI,
BCOM,B Communications Ltd.,EOD/BCOM,GOOG/NASDAQ_BCOM
BCOR,Blucora,EOD/BCOR,GOOG/NASDAQ_BCOR
BCOV,Brightcove Inc.,EOD/BCOV,GOOG/NASDAQ_BCOV
BCPC,Balchem Corporation,EOD/BCPC,GOOG/NASDAQ_BCPC
BCRX,BioCryst Pharmaceuticals,EOD/BCRX,GOOG/NASDAQ_BCRX
BDBD,Boulder Brands,EOD/BDBD,GOOG/NASDAQ_BDBD
BDCV,BDCA Venture,EOD/BDCV,
BDE,Black Diamond,EOD/BDE,GOOG/NASDAQ_BDE
BDGE,Bridge Bancorp,EOD/BDGE,GOOG/NASDAQ_BDGE
BDMS,Birner Dental Management Services,EOD/BDMS,GOOG/NASDAQ_BDMS
BDSI,BioDelivery Sciences International,EOD/BDSI,GOOG/NASDAQ_BDSI
