ticker,name,premium_code,free_code
BNSO,Bonso Electronics International,EOD/BNSO,GOOG/NASDAQ_BNSO
BNTC,Benitec Biopharma Limited,EOD/BNTC,
BNTCW,Benitec Biopharma Limited,EOD/BNTCW,
BOBE,Bob Evans Farms,EOD/BOBE,GOOG/NASDAQ_BOBE
BOCH,Bank of Commerce Holdings (CA),EOD/BOCH,GOOG/NASDAQ_BOCH
BOFI,BofI Holding,EOD/BOFI,GOOG/NASDAQ_BOFI
BOJA,Bojangles&#39;,EOD/BOJA,
BOKF,BOK Financial Corporation,EOD/BOKF,GOOG/NASDAQ_BOKF
BONA,Bona Film Group Limited,EOD/BONA,GOOG/NASDAQ_BONA
BONT,The Bon-Ton Stores,EOD/BONT,GOOG/NASDAQ_BONT
BOOM,Dynamic Materials Corporation,EOD/BOOM,GOOG/NASDAQ_BOOM
BOSC,B.O.S. Better Online Solutions,EOD/BOSC,GOOG/NASDAQ_BOSC
BOTA,Biota Pharmaceuticals,EOD/BOTA,GOOG/NASDAQ_BOTA
BOTJ,Bank of the James Financial Group,EOD/BOTJ,GOOG/NASDAQ_BOTJ
BOXL,Boxlight Corporation,,
BPFH,Boston Private Financial Holdings,EOD/BPFH,GOOG/NASDAQ_BPFH
BPFHP,Boston Private Financial Holdings,EOD/BPFHP,GOOG/NASDAQ_BPFHP
BPFHW,Boston Private Financial Holdings,EOD/BPFHW,
BPMC,Blueprint Medicines Corporation,EOD/BPMC,
BPOP,Popular,EOD/BPOP,GOOG/NASDAQ_BPOP
BPOPM,Popular,EOD/BPOPM,GOOG/NASDAQ_BPOPM
BPOPN,Popular,EOD/BPOPN,GOOG/NASDAQ_BPOPN
BPTH,Bio-Path Holdings,EOD/BPTH,
BRCD,Brocade Communications Systems,EOD/BRCD,GOOG/NASDAQ_BRCD
BRCM,Broadcom Corporation,EOD/BRCM,GOOG/NASDAQ_BRCM
BREW,Craft Brew Alliance,EOD/BREW,GOOG/NASDAQ_BREW
BRID,Bridgford Foods Corporation,EOD/BRID,GOOG/NASDAQ_BRID
BRKL,Brookline Bancorp,EOD/BRKL,GOOG/NASDAQ_BRKL
BRKR,Bruker Corporation,EOD/BRKR,GOOG/NASDAQ_BRKR
BRKS,Brooks Automation,EOD/BRKS,GOOG/NASDAQ_BRKS
BSET,Bassett Furniture Industries,EOD/BSET,GOOG/NASDAQ_BSET
BSF,Bear State Financial,EOD/BSF,
BSFT,BroadSoft,EOD/BSFT,GOOG/NASDAQ_BSFT
BSPM,Biostar Pharmaceuticals,EOD/BSPM,GOOG/NASDAQ_BSPM
BSQR,BSQUARE Corporation,EOD/BSQR,GOOG/NASDAQ_BSQR
BSRR,Sierra Bancorp,EOD/BSRR,GOOG/NASDAQ_BSRR
BSTC,BioSpecifics Technologies Corp,EOD/BSTC,GOOG/NASDAQ_BSTC
BUFF,Blue Buffalo Pet Products,EOD/BUFF,
BUR,Burcon Nutrascience Corp,EOD/BUR,GOOG/NASDAQ_BUR
BUSE,First Busey Corporation,EOD/BUSE,GOOG/NASDAQ_BUSE
BV,Bazaarvoice,EOD/BV,GOOG/NASDAQ_BV
BVA,Cordia Bancorp Inc.,EOD/BVA,GOOG/NASDAQ_BVA
BVSN,BroadVision,EOD/BVSN,GOOG/NASDAQ_BVSN
BVXV,BiondVax Pharmaceuticals Ltd.,EOD/BVXV,
BVXVW,BiondVax Pharmaceuticals Ltd.,EOD/BVXVW,
BWEN,Broadwind Energy,EOD/BWEN,GOOG/NASDAQ_BWEN
BWFG,Bankwell Financial Group,EOD/BWFG,
BWINA,Baldwin & Lyons,EOD/BWINA,GOOG/NASDAQ_BWINA
BWINB,Baldwin & Lyons,EOD/BWINB,GOOG/NASDAQ_BWINB
BWLD,Buffalo Wild Wings,EOD/BWLD,GOOG/NASDAQ_BWLD
BYBK,Bay Bancorp,EOD/BYBK,GOOG/NASDAQ_BYBK
BYFC,Broadway Financial Corporation,EOD/BYFC,GOOG/NASDAQ_BYFC
BYLK,Baylake Corp,EOD/BYLK,GOOG/NASDAQ_BYLK
BZUN,Baozun Inc.,EOD/BZUN,
CA,CA Inc.,EOD/CA,GOOG/NASDAQ_CA
CAAS,China Automotive Systems,EOD/CAAS,GOOG/NASDAQ_CAAS
CAC,Camden National Corporation,EOD/CAC,GOOG/NASDAQ_CAC
CACB,Cascade Bancorp,EOD/CACB,GOOG/NASDAQ_CACB
CACC,Credit Acceptance Corporation,EOD/CACC,GOOG/NASDAQ_CACC
CACQ,Caesars Acquisition Company,EOD/CACQ,GOOG/NASDAQ_CACQ
CADC,China Advanced Construction Materials Group,EOD/CADC,GOOG/NASDAQ_CADC
CADT,DT Asia Investments Limited,EOD/CADT,
CADTR,DT Asia Investments Limited,EOD/CADTR,
CADTU,DT Asia Investments Limited,EOD/CADTU,
CADTW,DT Asia Investments Limited,EOD/CADTW,
CAFD,8point3 Energy Partners LP,EOD/CAFD,
CAKE,The Cheesecake Factory Incorporated,EOD/CAKE,GOOG/NASDAQ_CAKE
CALA,Calithera Biosciences,EOD/CALA,
CALD,Callidus Software,EOD/CALD,GOOG/NASDAQ_CALD
CALI,China Auto Logistics Inc.,EOD/CALI,GOOG/NASDAQ_CALI
CALL,magicJack VocalTec Ltd,EOD/CALL,GOOG/NASDAQ_CALL
CALM,Cal-Maine Foods,EOD/CALM,GOOG/NASDAQ_CALM
CAMB,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,EOD/CAMB,
CAMBU,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,EOD/CAMBU,
CAMBW,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,EOD/CAMBW,
CAMP,CalAmp Corp.,EOD/CAMP,GOOG/NASDAQ_CAMP
CAMT,Camtek Ltd.,EOD/CAMT,GOOG/NASDAQ_CAMT
CAPN,Capnia,EOD/CAPN,
CAPNW,Capnia,EOD/CAPNW,
CAPR,Capricor Therapeutics,EOD/CAPR,
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio,EOD/CAPX,
CAR,Avis Budget Group,EOD/CAR,GOOG/NASDAQ_CAR
CARA,Cara Therapeutics,EOD/CARA,
CARB,Carbonite,EOD/CARB,GOOG/NASDAQ_CARB
CARO,Carolina Financial Corporation,EOD/CARO,
CART,Carolina Trust Bank,EOD/CART,GOOG/NASDAQ_CART
CARV,Carver Bancorp,EOD/CARV,GOOG/NASDAQ_CARV
CARZ,First Trust NASDAQ Global Auto Index Fund,EOD/CARZ,GOOG/NASDAQ_CARZ
CASH,Meta Financial Group,EOD/CASH,GOOG/NASDAQ_CASH
CASI,CASI Pharmaceuticals,EOD/CASI,
CASM,CAS Medical Systems,EOD/CASM,GOOG/NASDAQ_CASM
CASS,Cass Information Systems,EOD/CASS,GOOG/NASDAQ_CASS
CASY,Caseys General Stores,EOD/CASY,GOOG/NASDAQ_CASY
CATB,Catabasis Pharmaceuticals,EOD/CATB,
CATM,Cardtronics,EOD/CATM,GOOG/NASDAQ_CATM
CATY,Cathay General Bancorp,EOD/CATY,GOOG/NASDAQ_CATY
CATYW,Cathay General Bancorp,EOD/CATYW,
CAVM,Cavium,EOD/CAVM,GOOG/NASDAQ_CAVM
CBAK,China BAK Battery,EOD/CBAK,GOOG/NASDAQ_CBAK
CBAN,Colony Bankcorp,EOD/CBAN,GOOG/NASDAQ_CBAN
CBAY,Cymabay Therapeutics Inc.,EOD/CBAY,
CBF,Capital Bank Financial Corp.,EOD/CBF,GOOG/NASDAQ_CBF
CBFV,CB Financial Services,EOD/CBFV,
CBIO,Catalyst Biosciences,EOD/CBIO,
CBLI,Cleveland BioLabs,EOD/CBLI,GOOG/NASDAQ_CBLI
CBMG,Cellular Biomedicine Group,EOD/CBMG,
CBMX,CombiMatrix Corporation,EOD/CBMX,GOOG/NASDAQ_CBMX
CBNJ,Cape Bancorp,EOD/CBNJ,GOOG/NASDAQ_CBNJ
CBNK,Chicopee Bancorp,EOD/CBNK,GOOG/NASDAQ_CBNK
CBOE,CBOE Holdings,EOD/CBOE,GOOG/NASDAQ_CBOE
CBPO,China Biologic Products,EOD/CBPO,GOOG/NASDAQ_CBPO
CBRL,Cracker Barrel Old Country Store,EOD/CBRL,GOOG/NASDAQ_CBRL
CBSH,Commerce Bancshares,EOD/CBSH,GOOG/NASDAQ_CBSH
CBSHP,Commerce Bancshares,EOD/CBSHP,
CBYL,Carbylan Therapeutics,EOD/CBYL,
CCBG,Capital City Bank Group,EOD/CCBG,GOOG/NASDAQ_CCBG
CCCL,China Ceramics Co.,EOD/CCCL,GOOG/NASDAQ_CCCL
CCCR,China Commercial Credit,EOD/CCCR,GOOG/NASDAQ_CCCR
CCD,Calamos Dynamic Convertible & Income Fund,EOD/CCD,
CCFI,Community Choice Financial Inc.,,
CCIH,ChinaCache International Holdings Ltd.,EOD/CCIH,GOOG/NASDAQ_CCIH
CCLP,CSI Compressco LP,EOD/CCLP,
CCMP,Cabot Microelectronics Corporation,EOD/CCMP,GOOG/NASDAQ_CCMP
CCNE,CNB Financial Corporation,EOD/CCNE,GOOG/NASDAQ_CCNE
CCOI,Cogent Communications Holdings,EOD/CCOI,GOOG/NASDAQ_CCOI
CCRN,Cross Country Healthcare,EOD/CCRN,GOOG/NASDAQ_CCRN
CCUR,Concurrent Computer Corporation,EOD/CCUR,GOOG/NASDAQ_CCUR
CCXI,ChemoCentryx,EOD/CCXI,GOOG/NASDAQ_CCXI
CDC,Victory CEMP US EQ Income Enhanced Volatility Wtd Index ETF,EOD/CDC,
CDK,CDK Global,EOD/CDK,
CDL,Victory CEMP US Large Cap High Div Volatility Wtd Index ETF,EOD/CDL,
CDNA,CareDx,EOD/CDNA,
CDNS,Cadence Design Systems,EOD/CDNS,GOOG/NASDAQ_CDNS
CDOR,Condor Hospitality Trust,EOD/CDOR,
CDORO,Condor Hospitality Trust,EOD/CDORO,
CDORP,Condor Hospitality Trust,EOD/CDORP,
CDRB,Code Rebel Corporation,EOD/CDRB,
CDTI,Clean Diesel Technologies,EOD/CDTI,GOOG/NASDAQ_CDTI
CDTX,Cidara Therapeutics,EOD/CDTX,
CDW,CDW Corporation,EOD/CDW,GOOG/NASDAQ_CDW
CDXS,Codexis,EOD/CDXS,GOOG/NASDAQ_CDXS
CDZI,Cadiz,EOD/CDZI,GOOG/NASDAQ_CDZI
CECE,CECO Environmental Corp.,EOD/CECE,GOOG/NASDAQ_CECE
CECO,Career Education Corporation,EOD/CECO,GOOG/NASDAQ_CECO
CELG,Celgene Corporation,EOD/CELG,GOOG/NASDAQ_CELG
CELGZ,Celgene Corporation,EOD/CELGZ,
CEMI,Chembio Diagnostics,EOD/CEMI,GOOG/NASDAQ_CEMI
CEMP,Cempra,EOD/CEMP,GOOG/NASDAQ_CEMP
CENT,Central Garden & Pet Company,EOD/CENT,GOOG/NASDAQ_CENT
CENTA,Central Garden & Pet Company,EOD/CENTA,GOOG/NASDAQ_CENTA
CENX,Century Aluminum Company,EOD/CENX,GOOG/NASDAQ_CENX
CERCU,Cerecor Inc.,EOD/CERCU,
CERE,Ceres,EOD/CERE,GOOG/NASDAQ_CERE
CERN,Cerner Corporation,EOD/CERN,GOOG/NASDAQ_CERN
CERS,Cerus Corporation,EOD/CERS,GOOG/NASDAQ_CERS
CERU,Cerulean Pharma Inc.,EOD/CERU,
CETC,Hongli Clean Energy Technologies Corp.,EOD/CETC,
CETV,Central European Media Enterprises Ltd.,EOD/CETV,GOOG/NASDAQ_CETV
CETX,Cemtrex Inc.,EOD/CETX,
CEVA,CEVA,EOD/CEVA,GOOG/NASDAQ_CEVA
CFA,Victory CEMP US 500 Volatility Wtd Index ETF,EOD/CFA,
CFBK,Central Federal Corporation,EOD/CFBK,GOOG/NASDAQ_CFBK
CFCB,Centrue Financial Corporation,EOD/CFCB,
CFFI,C&F Financial Corporation,EOD/CFFI,GOOG/NASDAQ_CFFI
CFFN,Capitol Federal Financial,EOD/CFFN,GOOG/NASDAQ_CFFN
CFGE,Calamos Focus Growth ETF,EOD/CFGE,
CFMS,ConforMIS,EOD/CFMS,
CFNB,California First National Bancorp,EOD/CFNB,GOOG/NASDAQ_CFNB
CFNL,Cardinal Financial Corporation,EOD/CFNL,GOOG/NASDAQ_CFNL
CFO,Victory CEMP US 500 Enhanced Volatility Wtd Index ETF,EOD/CFO,
CFRX,ContraFect Corporation,EOD/CFRX,
CFRXW,ContraFect Corporation,EOD/CFRXW,
CG,The Carlyle Group L.P.,EOD/CG,GOOG/NASDAQ_CG
CGEN,Compugen Ltd.,EOD/CGEN,GOOG/NASDAQ_CGEN
CGIX,Cancer Genetics,EOD/CGIX,GOOG/NASDAQ_CGIX
CGNT,Cogentix Medical,EOD/CGNT,
CGNX,Cognex Corporation,EOD/CGNX,GOOG/NASDAQ_CGNX
CGO,Calamos Global Total Return Fund,EOD/CGO,GOOG/NASDAQ_CGO
CHCI,Comstock Holding Companies,EOD/CHCI,GOOG/NASDAQ_CHCI
CHCO,City Holding Company,EOD/CHCO,GOOG/NASDAQ_CHCO
CHDN,Churchill Downs,EOD/CHDN,GOOG/NASDAQ_CHDN
CHEF,The Chefs&#39; Warehouse,EOD/CHEF,GOOG/NASDAQ_CHEF
CHEK,Check-Cap Ltd.,EOD/CHEK,
CHEKW,Check-Cap Ltd.,EOD/CHEKW,
CHEV,Cheviot Financial Corp,EOD/CHEV,GOOG/NASDAQ_CHEV
CHFC,Chemical Financial Corporation,EOD/CHFC,GOOG/NASDAQ_CHFC
CHFN,Charter Financial Corp.,EOD/CHFN,GOOG/NASDAQ_CHFN
CHI,Calamos Convertible Opportunities and Income Fund,EOD/CHI,GOOG/NASDAQ_CHI
CHKE,Cherokee Inc.,EOD/CHKE,GOOG/NASDAQ_CHKE
CHKP,Check Point Software Technologies Ltd.,EOD/CHKP,GOOG/NASDAQ_CHKP
CHLN,China Housing & Land Development,EOD/CHLN,GOOG/NASDAQ_CHLN
CHMA,Chiasma,EOD/CHMA,
CHMG,Chemung Financial Corp,EOD/CHMG,GOOG/NASDAQ_CHMG
CHNR,China Natural Resources,EOD/CHNR,GOOG/NASDAQ_CHNR
CHOP,China Gerui Advanced Materials Group Limited,EOD/CHOP,GOOG/NASDAQ_CHOP
CHRS,Coherus BioSciences,EOD/CHRS,GOOG/NASDAQ_CHRS
CHRW,C.H. Robinson Worldwide,EOD/CHRW,GOOG/NASDAQ_CHRW
CHSCL,CHS Inc,EOD/CHSCL,
CHSCM,CHS Inc,EOD/CHSCM,
CHSCN,CHS Inc,EOD/CHSCN,
CHSCO,CHS Inc,EOD/CHSCO,GOOG/NASDAQ_CHSCO
CHSCP,CHS Inc,EOD/CHSCP,GOOG/NASDAQ_CHSCP
CHTR,Charter Communications,EOD/CHTR,GOOG/NASDAQ_CHTR
CHUY,Chuy&#39;s Holdings,EOD/CHUY,GOOG/NASDAQ_CHUY
CHW,Calamos Global Dynamic Income Fund,EOD/CHW,GOOG/NASDAQ_CHW
CHY,Calamos Convertible and High Income Fund,EOD/CHY,GOOG/NASDAQ_CHY
CIBR,First Trust NASDAQ CEA Cybersecurity ETF,EOD/CIBR,
CID,Victory CEMP International High Div Volatility Wtd Index ETF,EOD/CID,
CIDM,Cinedigm Corp,EOD/CIDM,GOOG/NASDAQ_CIDM
CIFC,CIFC Corp.,EOD/CIFC,GOOG/NASDAQ_CIFC
CIGI,Colliers International Group Inc. ,EOD/CIGI,
CIL,Victory CEMP International Volatility Wtd Index ETF,EOD/CIL,
CINF,Cincinnati Financial Corporation,EOD/CINF,GOOG/NASDAQ_CINF
CISG,CNinsure Inc.,EOD/CISG,GOOG/NASDAQ_CISG
CIVB,Civista Bancshares,EOD/CIVB,
CIVBP,Civista Bancshares,EOD/CIVBP,
CIZ,Victory CEMP Developed Enhanced Volatility Wtd Index ETF,EOD/CIZ,
CIZN,Citizens Holding Company,EOD/CIZN,GOOG/NASDAQ_CIZN
CJJD,China Jo-Jo Drugstores,EOD/CJJD,GOOG/NASDAQ_CJJD
CKEC,Carmike Cinemas,EOD/CKEC,GOOG/NASDAQ_CKEC
CLACU,Capitol Acquisition Corp. III,EOD/CLACU,GOOG/NASDAQ_CLACU
CLBH,Carolina Bank Holdings Inc.,EOD/CLBH,GOOG/NASDAQ_CLBH
CLBS,Caladrius Biosciences,EOD/CLBS,
CLCD,CoLucid Pharmaceuticals,EOD/CLCD,
CLCT,Collectors Universe,EOD/CLCT,GOOG/NASDAQ_CLCT
CLDN,Celladon Corporation,EOD/CLDN,
CLDX,Celldex Therapeutics,EOD/CLDX,GOOG/NASDAQ_CLDX
CLFD,Clearfield,EOD/CLFD,GOOG/NASDAQ_CLFD
CLIR,ClearSign Combustion Corporation,EOD/CLIR,GOOG/NASDAQ_CLIR
CLLS,Cellectis S.A.,EOD/CLLS,
CLMS,Calamos Asset Management,EOD/CLMS,GOOG/NASDAQ_CLMS
CLMT,Calumet Specialty Products Partners,EOD/CLMT,GOOG/NASDAQ_CLMT
CLNE,Clean Energy Fuels Corp.,EOD/CLNE,GOOG/NASDAQ_CLNE
CLNT,Cleantech Solutions International,EOD/CLNT,GOOG/NASDAQ_CLNT
CLRB,Cellectar Biosciences,EOD/CLRB,
CLRBW,Cellectar Biosciences,EOD/CLRBW,
CLRO,ClearOne,EOD/CLRO,GOOG/NASDAQ_CLRO
CLSN,Celsion Corporation,EOD/CLSN,GOOG/NASDAQ_CLSN
CLUB,Town Sports International Holdings,EOD/CLUB,GOOG/NASDAQ_CLUB
CLVS,Clovis Oncology,EOD/CLVS,GOOG/NASDAQ_CLVS
CLWT,Euro Tech Holdings Company Limited,EOD/CLWT,GOOG/NASDAQ_CLWT
CMCO,Columbus McKinnon Corporation,EOD/CMCO,GOOG/NASDAQ_CMCO
CMCSA,Comcast Corporation,EOD/CMCSA,GOOG/NASDAQ_CMCSA
CMCSK,Comcast Corporation,EOD/CMCSK,GOOG/NASDAQ_CMCSK
CMCT,CIM Commercial Trust Corporation,EOD/CMCT,
CME,CME Group Inc.,EOD/CME,GOOG/NASDAQ_CME
CMFN,CM Finance Inc,EOD/CMFN,
CMLS,Cumulus Media Inc.,EOD/CMLS,GOOG/NASDAQ_CMLS
CMPR,Cimpress N.V,EOD/CMPR,
CMRX,Chimerix,EOD/CMRX,GOOG/NASDAQ_CMRX
CMTL,Comtech Telecommunications Corp.,EOD/CMTL,GOOG/NASDAQ_CMTL
CNAT,Conatus Pharmaceuticals Inc.,EOD/CNAT,GOOG/NASDAQ_CNAT
CNBKA,Century Bancorp,EOD/CNBKA,GOOG/NASDAQ_CNBKA
CNCE,Concert Pharmaceuticals,EOD/CNCE,
CNCR,Loncar Cancer Immunotherapy ETF,EOD/CNCR,
CNET,ChinaNet Online Holdings,EOD/CNET,GOOG/NASDAQ_CNET
CNFR,Conifer Holdings,EOD/CNFR,
CNIT,China Information Technology,EOD/CNIT,GOOG/NASDAQ_CNIT
CNLM,CB Pharma Acquisition Corp.,EOD/CNLM,
CNLMR,CB Pharma Acquisition Corp.,EOD/CNLMR,
CNLMU,CB Pharma Acquisition Corp.,EOD/CNLMU,
CNLMW,CB Pharma Acquisition Corp.,EOD/CNLMW,
CNMD,CONMED Corporation,EOD/CNMD,GOOG/NASDAQ_CNMD
CNOB,ConnectOne Bancorp,EOD/CNOB,GOOG/NASDAQ_CNOB
CNSL,Consolidated Communications Holdings,EOD/CNSL,GOOG/NASDAQ_CNSL
CNTF,China TechFaith Wireless Communication Technology Limited,EOD/CNTF,GOOG/NASDAQ_CNTF
CNTY,Century Casinos,EOD/CNTY,GOOG/NASDAQ_CNTY
CNV,Cnova N.V.,EOD/CNV,
CNXR,Connecture,EOD/CNXR,
CNYD,China Yida Holding,EOD/CNYD,GOOG/NASDAQ_CNYD
COB,CommunityOne Bancorp,EOD/COB,GOOG/NASDAQ_COB
COBZ,CoBiz Financial Inc.,EOD/COBZ,GOOG/NASDAQ_COBZ
COHR,Coherent,EOD/COHR,GOOG/NASDAQ_COHR
COHU,Cohu,EOD/COHU,GOOG/NASDAQ_COHU
COKE,Coca-Cola Bottling Co. Consolidated,EOD/COKE,GOOG/NASDAQ_COKE
COLB,Columbia Banking System,EOD/COLB,GOOG/NASDAQ_COLB
COLL,Collegium Pharmaceutical,EOD/COLL,
COLM,Columbia Sportswear Company,EOD/COLM,GOOG/NASDAQ_COLM
COMM,CommScope Holding Company,EOD/COMM,GOOG/NASDAQ_COMM
COMT,iShares Commodities Select Strategy ETF,EOD/COMT,
CONE,CyrusOne Inc,EOD/CONE,GOOG/NASDAQ_CONE
CONN,Conn&#39;s,EOD/CONN,GOOG/NASDAQ_CONN
COOL,Majesco Entertainment Company,EOD/COOL,GOOG/NASDAQ_COOL
CORE,Core-Mark Holding Company,EOD/CORE,GOOG/NASDAQ_CORE
CORI,Corium International,EOD/CORI,
CORT,Corcept Therapeutics Incorporated,EOD/CORT,GOOG/NASDAQ_CORT
COSI,Cosi,EOD/COSI,GOOG/NASDAQ_COSI
COST,Costco Wholesale Corporation,EOD/COST,GOOG/NASDAQ_COST
COVS,Covisint Corporation,EOD/COVS,GOOG/NASDAQ_COVS
COWN,Cowen Group,EOD/COWN,GOOG/NASDAQ_COWN
COWNL,Cowen Group,EOD/COWNL,
COYN,COPsync,,
COYNW,COPsync,,
CPAH,CounterPath Corporation,EOD/CPAH,GOOG/NASDAQ_CPAH
CPHC,Canterbury Park Holding Corporation,EOD/CPHC,GOOG/NASDAQ_CPHC
CPHD,CEPHEID,EOD/CPHD,GOOG/NASDAQ_CPHD
CPHR,Cipher Pharmaceuticals Inc.,EOD/CPHR,
CPIX,Cumberland Pharmaceuticals Inc.,EOD/CPIX,GOOG/NASDAQ_CPIX
CPLA,Capella Education Company,EOD/CPLA,GOOG/NASDAQ_CPLA
CPLP,Capital Product Partners L.P.,EOD/CPLP,GOOG/NASDAQ_CPLP
CPRT,Copart,EOD/CPRT,GOOG/NASDAQ_CPRT
CPRX,Catalyst Pharmaceuticals,EOD/CPRX,GOOG/NASDAQ_CPRX
CPSH,CPS Technologies Corp.,EOD/CPSH,
CPSI,Computer Programs and Systems,EOD/CPSI,GOOG/NASDAQ_CPSI
CPSS,Consumer Portfolio Services,EOD/CPSS,GOOG/NASDAQ_CPSS
CPST,Capstone Turbine Corporation,EOD/CPST,GOOG/NASDAQ_CPST
CPTA,Capitala Finance Corp.,EOD/CPTA,GOOG/NASDAQ_CPTA
CPXX,Celator Pharmaceuticals Inc.,EOD/CPXX,GOOG/NASDAQ_CPXX
CRAI,CRA International,EOD/CRAI,GOOG/NASDAQ_CRAI
CRAY,Cray Inc,EOD/CRAY,GOOG/NASDAQ_CRAY
CRBP,Corbus Pharmaceuticals Holdings,EOD/CRBP,
CRDC,Cardica,EOD/CRDC,GOOG/NASDAQ_CRDC
CRDI,China Resources Development Inc.,,
CRDS,Crossroads Systems,EOD/CRDS,GOOG/NASDAQ_CRDS
CRDT,WisdomTree Strategic Corporate Bond Fund,EOD/CRDT,
CREE,Cree,EOD/CREE,GOOG/NASDAQ_CREE
CREG,China Recycling Energy Corporation,EOD/CREG,GOOG/NASDAQ_CREG
CRESY,Cresud S.A.C.I.F. y A.,EOD/CRESY,GOOG/NASDAQ_CRESY
CRIS,Curis,EOD/CRIS,GOOG/NASDAQ_CRIS
CRME,Cardiome Pharma Corporation,EOD/CRME,GOOG/NASDAQ_CRME
CRMT,America&#39;s Car-Mart,EOD/CRMT,GOOG/NASDAQ_CRMT
CRNT,Ceragon Networks Ltd.,EOD/CRNT,GOOG/NASDAQ_CRNT
CROX,Crocs,EOD/CROX,GOOG/NASDAQ_CROX
CRTN,Cartesian,EOD/CRTN,
CRTO,Criteo S.A.,EOD/CRTO,GOOG/NASDAQ_CRTO
CRUS,Cirrus Logic,EOD/CRUS,GOOG/NASDAQ_CRUS
CRVL,CorVel Corp.,EOD/CRVL,GOOG/NASDAQ_CRVL
CRWN,Crown Media Holdings,EOD/CRWN,GOOG/NASDAQ_CRWN
CRWS,Crown Crafts,EOD/CRWS,GOOG/NASDAQ_CRWS
CRZO,Carrizo Oil & Gas,EOD/CRZO,GOOG/NASDAQ_CRZO
CSA,Victory CEMP US Small Cap Volatility Wtd Index ETF,EOD/CSA,
CSAL,Communications Sales & Leasing,EOD/CSAL,
CSB,Victory CEMP US Small Cap High Div Volatility Wtd Index ETF,EOD/CSB,
CSBK,Clifton Bancorp Inc.,EOD/CSBK,GOOG/NASDAQ_CSBK
CSBR,Champions Oncology,EOD/CSBR,
CSCD,Cascade Microtech,EOD/CSCD,GOOG/NASDAQ_CSCD
CSCO,Cisco Systems,EOD/CSCO,GOOG/NASDAQ_CSCO
CSF,Victory CEMP US Discovery Enhanced Volatility Wtd Index ETF,EOD/CSF,
CSFL,CenterState Banks,EOD/CSFL,GOOG/NASDAQ_CSFL
CSGP,CoStar Group,EOD/CSGP,GOOG/NASDAQ_CSGP
CSGS,CSG Systems International,EOD/CSGS,GOOG/NASDAQ_CSGS
CSII,Cardiovascular Systems,EOD/CSII,GOOG/NASDAQ_CSII
CSIQ,Canadian Solar Inc.,EOD/CSIQ,GOOG/NASDAQ_CSIQ
CSOD,Cornerstone OnDemand,EOD/CSOD,GOOG/NASDAQ_CSOD
CSPI,CSP Inc.,EOD/CSPI,GOOG/NASDAQ_CSPI
CSQ,Calamos Strategic Total Return Fund,EOD/CSQ,GOOG/NASDAQ_CSQ
CSTE,CaesarStone Sdot-Yam Ltd.,EOD/CSTE,GOOG/NASDAQ_CSTE
CSUN,China Sunergy Co.,EOD/CSUN,GOOG/NASDAQ_CSUN
CSWC,Capital Southwest Corporation,EOD/CSWC,GOOG/NASDAQ_CSWC
CSWI,CSW Industrials,EOD/CSWI,
CTAS,Cintas Corporation,EOD/CTAS,GOOG/NASDAQ_CTAS
CTBI,Community Trust Bancorp,EOD/CTBI,GOOG/NASDAQ_CTBI
CTCM,CTC Media,EOD/CTCM,GOOG/NASDAQ_CTCM
CTCT,Constant Contact,EOD/CTCT,GOOG/NASDAQ_CTCT
CTG,Computer Task Group,EOD/CTG,GOOG/NASDAQ_CTG
CTHR,Charles & Colvard Ltd,EOD/CTHR,GOOG/NASDAQ_CTHR
CTIB,CTI Industries Corporation,EOD/CTIB,GOOG/NASDAQ_CTIB
CTIC,CTI BioPharma Corp.,EOD/CTIC,GOOG/NASDAQ_CTIC
CTMX,CytomX Therapeutics,EOD/CTMX,
CTRE,CareTrust REIT,EOD/CTRE,
CTRL,Control4 Corporation,EOD/CTRL,GOOG/NASDAQ_CTRL
CTRN,Citi Trends,EOD/CTRN,GOOG/NASDAQ_CTRN
CTRP,Ctrip.com International,EOD/CTRP,GOOG/NASDAQ_CTRP
CTRV,ContraVir Pharmaceuticals Inc,EOD/CTRV,
CTSH,Cognizant Technology Solutions Corporation,EOD/CTSH,GOOG/NASDAQ_CTSH
CTSO,Cytosorbents Corporation,EOD/CTSO,
CTWS,Connecticut Water Service,EOD/CTWS,GOOG/NASDAQ_CTWS
CTXS,Citrix Systems,EOD/CTXS,GOOG/NASDAQ_CTXS
CU,First Trust ISE Global Copper Index Fund,EOD/CU,GOOG/NASDAQ_CU
CUBA,The Herzfeld Caribbean Basin Fund,EOD/CUBA,GOOG/NASDAQ_CUBA
CUBN,Commerce Union Bancshares,EOD/CUBN,
CUI,CUI Global,EOD/CUI,GOOG/NASDAQ_CUI
CUNB,CU Bancorp (CA),EOD/CUNB,GOOG/NASDAQ_CUNB
CUR,Neuralstem,EOD/CUR,
CUTR,Cutera,EOD/CUTR,GOOG/NASDAQ_CUTR
CVBF,CVB Financial Corporation,EOD/CVBF,GOOG/NASDAQ_CVBF
CVCO,Cavco Industries,EOD/CVCO,GOOG/NASDAQ_CVCO
CVCY,Central Valley Community Bancorp,EOD/CVCY,GOOG/NASDAQ_CVCY
